Marca temporal,nombre,categoria,categoria_secundaria,coleccion,talla,proveedor,precio,estado,imagen,imagen_link,imagen_drive,descripcion,stock,ID,Costo,stockd,Liked,Share
8/8/2026 0:47:26,Espejo Adhesivo de Pared,Hogar,Unisex,Otro/Ninguno,M,Otros,10.5,Normal,https://lh3.googleusercontent.com/d/1Ysiq-qbJ-TXYwny-hNvN-knDSczX67PQ,,https://drive.google.com/open?id=1Ysiq-qbJ-TXYwny-hNvN-knDSczX67PQ," Lámina de espejo acrílico adhesivo de 35x50 cm con esquinas redondeadas, ideal para instalar fácilmente en paredes de baño o dormitorio.",10,DN-X-0016,,,0,0
8/8/2026 3:46:32,Organizador de Baño de 5 Piezas,Hogar,Unisex,Otro/Ninguno,U,Otros,1,Normal,https://lh3.googleusercontent.com/d/1Baiuzek0TQiUyWXQb4lic0FB3_cQtLFJ,,https://drive.google.com/open?id=1Baiuzek0TQiUyWXQb4lic0FB3_cQtLFJ,"Set de 5 estantes metálicos negros para baño, incluye 2 repisas esquineras, 2 jaboneras y 1 porta cepillos/pasta dental.",10,DN-X-0017,,,0,0
8/8/2026 3:51:43,Collar Doble con Dije de Corazón,Accesorios,Mujer,Otro/Ninguno,U,Otros,11.5,Normal,https://lh3.googleusercontent.com/d/1DwgZVBGlY2XQ-iJaXCUsxyGOaXqYnsF7,,https://drive.google.com/open?id=1DwgZVBGlY2XQ-iJaXCUsxyGOaXqYnsF7,Collar de cuentas esféricas (azul o blanco) con dijes en forma de corazón (rosado o azul). Los collares se venden tambien sin dije,10,AM-X-0018,,,0,0
8/8/2026 3:57:41,Juego de Sábanas Twin Capitán América Avengers,Hogar,Niños,Superheroe,S,Otros,18.5,Normal,https://lh3.googleusercontent.com/d/1L956v6YGAvpgU329NHT2UfA2didF_ci0,,https://drive.google.com/open?id=1L956v6YGAvpgU329NHT2UfA2didF_ci0,Juego de sábanas individual Twin con estampado del Capitán América y los Avengers en tonos turquesa y azul.,10,DK-X-0019,,,0,0
8/8/2026 4:02:35,Conjunto Elegante Chaleco y Pantalón,Ropa,Mujer,Otro/Ninguno,"S, M, L",Otros,1,Normal,https://lh3.googleusercontent.com/d/1TLNVYwVSr5RzbvK8yOOAmTVRTViIsL4o,,https://drive.google.com/open?id=1TLNVYwVSr5RzbvK8yOOAmTVRTViIsL4o,Set elegante de dos piezas compuesto por chaleco sin mangas con botones frontales y pantalón de corte recto y tiro alto.,10,EM-X-0020,,,0,0
8/8/2026 14:22:05,Morral Antirrobo de Cuerina Elegante,Bolsos,Mujer,Otro/Ninguno,U,Otros,1,Normal,https://lh3.googleusercontent.com/d/1jgCPQ2qjQEXC4M_QAWuy39jO65vpZhMS,,https://drive.google.com/open?id=1jgCPQ2qjQEXC4M_QAWuy39jO65vpZhMS," Mochila de semicuero fino con apertura principal trasera antirrobo, asas de hombro ajustables y correa desmontable para llevar como bolso de mano.",10,CM-X-0021,,,0,0
8/8/2026 23:30:08,Paraguas Transparente My Melody,Accesorios,Niños,Sanrio,U,Otros,1,Normal,https://drive.google.com/file/d/1HbJF5-OJ9Wh5zKo7rXHp8su6N4HG2bZ7,,https://drive.google.com/file/d/1HbJF5-OJ9Wh5zKo7rXHp8su6N4HG2bZ7,"Paraguas de estructura transparente con estampado en tonos rosas y diseño de My Melody con conejito de peluche, e incluye mango curvo ergonómico.",10,AK-X-0022,,,0,0
8/8/2026 23:45:36,Pulseras de Cuentas con Dije de Corazón,Accesorios,Mujer,Otro/Ninguno,U,Otros,9,Normal,https://lh3.googleusercontent.com/d/1gCoq0_noFp9ZOna_ctgjBb-PJkObhENx,,https://drive.google.com/open?id=1gCoq0_noFp9ZOna_ctgjBb-PJkObhENx,Pulsera de cuentas esféricas en tonos pastel #rosa #blanco #amarillo con dije colgante en forma de corazón y detalle de minicadena dorada.,10,AM-X-0023,,,0,0
8/8/2026 23:53:21,Paraguas Infantil Stitch,Accesorios,Niños,Lilo y Stitch,U,Otros,1,Normal,https://drive.google.com/file/d/1VgXqVhCkZSNAYZfKO97CO0G8fjbIDuQE,,https://drive.google.com/file/d/1VgXqVhCkZSNAYZfKO97CO0G8fjbIDuQE," Paraguas infantil en color azul brillante con ilustrativos estampados de Stitch, estructura resistente y mango con silbato integrado.",10,AK-X-0024,,,0,0
9/8/2026 0:02:57,Termo Deportivo de 900ml,Accesorios,Unisex,Otro/Ninguno,L,Otros,23,Normal,https://lh3.googleusercontent.com/d/1Kr6rQk7B35DGqjGCi_CPeiUzKaFwdiyl,,https://drive.google.com/open?id=1Kr6rQk7B35DGqjGCi_CPeiUzKaFwdiyl,"Botella térmica de 900 ml a prueba de fugas, con asa abatible para transporte cómodo y boquilla con pitillo integrado.",10,AN-X-0025,,,0,0
9/8/2026 0:06:29,Jumpsuit Corto Elegante con Botones Dorados,Ropa,Mujer,Otro/Ninguno,"S, M, L",Otros,1,Normal,https://lh3.googleusercontent.com/d/19PJyKYqqfWxrstqYfL6j51A3PM4yxzbo,,https://drive.google.com/open?id=19PJyKYqqfWxrstqYfL6j51A3PM4yxzbo,"Enterizo corto color blanco sin mangas, cuello camisero, cintura entallada y detalles de botones metálicos dorados en el torso.",10,EM-X-0026,,,0,0
9/8/2026 0:08:17,Paraguas Transparente Kuromi,Accesorios,Mujer,Sanrio,U,Otros,1,Normal,https://lh3.googleusercontent.com/d/1CYcJtP5cwmWPghERTqoxMcF7uLGyGYvT,,https://drive.google.com/open?id=1CYcJtP5cwmWPghERTqoxMcF7uLGyGYvT,"Paraguas hexagonal transparente en tono lila con varios estampados de Kuromi, detalles de lazos y mango superior acrílico",10,AM-X-0027,,,0,0
9/8/2026 1:58:49,Pulsera Artesanal de Cuentas Dije Corazón,Accesorios,Mujer,Otro/Ninguno,U,Otros,7.5,Normal,https://drive.google.com/file/d/1fGYQ1PkRezjWf_tkSL00QTr7Wns1dV2G,,https://drive.google.com/file/d/1fGYQ1PkRezjWf_tkSL00QTr7Wns1dV2G,Pulsera ajustable de cordón tejido con cuentas esféricas en tonos neutros y dije central pulido en forma de corazón.,10,AM-X-0028,,,0,0
9/8/2026 12:28:56,Molde de Silicona para Air Fryer,Hogar,Unisex,Otro/Ninguno,U,Otros,1,Normal,"https://lh3.googleusercontent.com/d/1EORZGiJ5mHV1igVoQ8y2SfJUR6XuP_02, https://drive.google.com/file/d/1Bs-DajiPYVW9LhzYu_e2TNBtXiGv4s1J/view?usp=drive_link, https://drive.google.com/file/d/1i2RAivKwZkxE2b2qf3V6tmCjy-6WUSnz/view?usp=drive_link",,"https://drive.google.com/open?id=1EORZGiJ5mHV1igVoQ8y2SfJUR6XuP_02, https://drive.google.com/file/d/1Bs-DajiPYVW9LhzYu_e2TNBtXiGv4s1J/view?usp=drive_link, https://drive.google.com/file/d/1i2RAivKwZkxE2b2qf3V6tmCjy-6WUSnz/view?usp=drive_link","Bandeja cuadrada de silicona negra resistente al calor para freidora de aire, con asas laterales y relieve inferior para drenar grasas y facilitar la limpieza. 200x150x67",10,DN-X-0029,,,0,0
9/8/2026 12:38:15,Kit de Cartuchera y Lonchera Huntrix,Papeleria,Niños,Huntrix,U,Otros,1,Normal,https://lh3.googleusercontent.com/d/1FDw_3Y_8x2Nr6WIJautHr6w4f1aWkG_S,,https://drive.google.com/open?id=1FDw_3Y_8x2Nr6WIJautHr6w4f1aWkG_S,"Set escolar de lonchera y cartuchera ovalada con cierre, bordes azul turquesa y llamativo estampado frontal de personajes guerreros estilo anime.",10,GK-X-0030,,,0,0
9/8/2026 12:47:49,Set Arte Escolar Multiuso,Papeleria,Niños,Otro/Ninguno,U,Otros,1,Pocas Unidades,"https://lh3.googleusercontent.com/d/1xX4NjeHw6Hh-7TwbfdvkRp0z41RsV4QD, https://lh3.googleusercontent.com/d/1vQKRnf_XsD52u_gKWhXfVQ4Q5VrGOOH-",,"https://drive.google.com/open?id=1xX4NjeHw6Hh-7TwbfdvkRp0z41RsV4QD, https://drive.google.com/open?id=1vQKRnf_XsD52u_gKWhXfVQ4Q5VrGOOH-","Bandeja organizadora escolar de color azul que incluye acuarelas, crayones de cera, marcadores de colores, borrador y tiza.",3,GK-X-0031,,,0,0
9/8/2026 13:08:56,Corrector de Postura Espalda y Hombros,Belleza,Unisex,Otro/Ninguno,U,Otros,1,Normal,"https://lh3.googleusercontent.com/d/1GhinTtReOTC-cd15diMycf441jqje48n, https://drive.google.com/file/d/1Je3JuzTYUlTIB_BbKxzLONZfdpDHjmzk",,"https://drive.google.com/open?id=1GhinTtReOTC-cd15diMycf441jqje48n, https://drive.google.com/file/d/1Je3JuzTYUlTIB_BbKxzLONZfdpDHjmzk",Chaleco soporte de espalda en color negro con correas ajustables y banda de ajuste lumbar con velcro para mejorar la postura corporal,10,BN-X-0032,,,0,0
9/8/2026 13:15:40,Taza de Acrílico Transparente Kuromi,Hogar,Niños,Otro/Ninguno,U,Otros,1,Normal,"https://lh3.googleusercontent.com/d/1OGpR2PI-Xum_FunQRiN6rf2j563Z0XiD, https://lh3.googleusercontent.com/d/1j4QUGWuwNdf3INGvmuNATKydB7iA6EGf",,"https://drive.google.com/open?id=1OGpR2PI-Xum_FunQRiN6rf2j563Z0XiD, https://drive.google.com/open?id=1j4QUGWuwNdf3INGvmuNATKydB7iA6EGf",Vaso de acrílico transparente con asa y apliques en 3D en relieve del personaje Kuromi y detalles en tonos rosados y morados.,10,DK-X-0033,,,0,0
9/8/2026 13:21:47,Juego de Ajedrez platicos portatil,Otros,Niños,Otro/Ninguno,S,Otros,1,Normal,https://lh3.googleusercontent.com/d/1ZMoa8XobZodoO0Ujqsn_2gChzped13u0,,https://drive.google.com/open?id=1ZMoa8XobZodoO0Ujqsn_2gChzped13u0,Juego de ajedrez completo con tablero flexible y piezas de plástico blanco y negro presentadas en plantilla desarmable para fácil transporte.,10,XK-X-0034,,,0,0
9/8/2026 13:41:53,Audífonos Bluetooth Plegables,Accesorios,Unisex,Otro/Ninguno,U,Otros,1,Normal,"https://lh3.googleusercontent.com/d/1DGn3C1HjFWw_Y8b3NYZB6w5KLJw93qxq, https://lh3.googleusercontent.com/d/1soW9mr2PQbZqk2MdNu6c-2zoFEiYITcy, https://drive.google.com/file/d/1XZ8NEWbHx7E85Q8AS96FMv0557gUIHJz/view?usp=drive_link",,"https://drive.google.com/open?id=1DGn3C1HjFWw_Y8b3NYZB6w5KLJw93qxq, https://drive.google.com/open?id=1soW9mr2PQbZqk2MdNu6c-2zoFEiYITcy, https://drive.google.com/file/d/1XZ8NEWbHx7E85Q8AS96FMv0557gUIHJz/view?usp=drive_link","Auriculares inalámbricos de diadema plegable en diseño bicolor azul cielo y rosa pastel, compactos y de ajuste cómodo.",10,AN-X-0035,,,0,0
9/8/2026 14:02:56, Cobija Frazada Peluda Animada,Hogar,Niños,Otro/Ninguno,L,Otros,1,Normal,https://lh3.googleusercontent.com/d/1bEaz11QGLDLp1aFlWgShy99mhwx5KIf8,,https://drive.google.com/open?id=1bEaz11QGLDLp1aFlWgShy99mhwx5KIf8,Mantas ultra suaves de tejido peluche con diversos estampados coloridos #stitch #HelloKitty #Marvel #Sonic,10,DK-X-0036,,,0,0
9/8/2026 14:39:12,Micrófono de Karaoke Infantil con Pedestal,Juguetes,Niños,Otro/Ninguno,U,Otros,1,Normal,https://lh3.googleusercontent.com/d/19JdzvvERz4u0A_VnuCYIE2Npia0HWrqL,,https://drive.google.com/open?id=19JdzvvERz4u0A_VnuCYIE2Npia0HWrqL,"Juguete de micrófono con pie regulable en color #azul y #rosa, base de estrella con luces LED de colores y efectos de sonido para niños.",10,JK-X-0037,,,0,0
9/8/2026 14:55:13,Set de Cuentas y Bisutería Kuromi y My Melody,Accesorios,Niños,Sanrio,U,Otros,1,Normal,"https://lh3.googleusercontent.com/d/1AWHGsyUYOAVDfNVR600cz0ayu6ee2sm-, https://lh3.googleusercontent.com/d/1__Iu9k1QGnkzASDSO8Yk0s9AhrUFYXSJ",,"https://drive.google.com/open?id=1AWHGsyUYOAVDfNVR600cz0ayu6ee2sm-, https://drive.google.com/open?id=1__Iu9k1QGnkzASDSO8Yk0s9AhrUFYXSJ"," Caja organizadora de regalo llena de cuentas de colores, ligas y dijes temáticos de #Kuromi y #MyMelodypara armar pulseras y collares.",10,AK-X-0038,,,0,0
9/8/2026 15:38:34,Organizador de Maquillaje Acrílico Transparente,Hogar,Mujer,Otro/Ninguno,U,Otros,1,Normal,https://lh3.googleusercontent.com/d/1JHmqRrlAfQaUcgQPRih9bfb8RGOay4Cn,,https://drive.google.com/open?id=1JHmqRrlAfQaUcgQPRih9bfb8RGOay4Cn,"Organizador acrílico transparente multiusos con compartimentos escalonados para labiales y espacios amplios para brochas, cremas o paletas.",10,DM-X-0039,,,0,0
9/8/2026 15:41:12,Set de Cuaderno y Bolígrafo Kuromi,Papeleria,Niños,Sanrio,U,Otros,1,Normal,https://lh3.googleusercontent.com/d/17L2prI4LN8yQawGfES6xbIVj8CSPWiaO,,https://drive.google.com/open?id=17L2prI4LN8yQawGfES6xbIVj8CSPWiaO,"Cuaderno de pasta dura en tono morado con relieve de Kuromi, broche magnético, cinta separadora, bolígrafo temático y hoja de stickers.",10,GK-X-0040,,,0,0
9/8/2026 15:50:02,Sacapuntas Doble con Borrador y Cepillo,Papeleria,Niños,Sanrio,U,Otros,1,Normal,https://lh3.googleusercontent.com/d/1Lr0rDV-I12F8mZ9KywQR7mWFrpnGF8S7,,https://drive.google.com/open?id=1Lr0rDV-I12F8mZ9KywQR7mWFrpnGF8S7,"Sacapuntas doble depósito con depósito transparente, goma de borrar y mini cepillo para limpiar residuos de viruta.",10,GK-X-0041,,,0,0
9/8/2026 15:52:27,Calculadora Científico-Escolar Pastel,Papeleria,Unisex,Otro/Ninguno,"M, U",Otros,14,Normal,https://lh3.googleusercontent.com/d/1btczJkc6rFMXC7iR07mxva7zEZ6dzsKa,,https://drive.google.com/open?id=1btczJkc6rFMXC7iR07mxva7zEZ6dzsKa,Calculadora de mesa en colores pastel con pantalla LCD inclinada y teclas redondas de toque suave estilo máquina de escribir.,10,GN-X-0042,7,,0,0
9/8/2026 17:32:24,Robot Bailarín con Luces y Sonido,Juguetes,Niños,Otro/Ninguno,U,Otros,1,Normal,https://lh3.googleusercontent.com/d/1-dwaMkFvlsx369OixkJL3HfafrLBMl1q,,https://drive.google.com/open?id=1-dwaMkFvlsx369OixkJL3HfafrLBMl1q,"Juguete interactivo con forma de robot/astronauta que baila, gira 360°, emite sonidos y proyecta luces multicolores.",10,JK-X-0043,,,0,0
9/8/2026 18:19:07,Juego de Jenga de Madera Colorido,Juguetes,Niños,Otro/Ninguno,U,Otros,1,Normal,https://lh3.googleusercontent.com/d/10K5TuzPyDPSERA9Rk2DzYTYyn4kuj-Gm,,https://drive.google.com/open?id=10K5TuzPyDPSERA9Rk2DzYTYyn4kuj-Gm,Torre de destreza con 54 bloques de madera pintados en vibrantes colores primarios para armar y jugar en grupo.,10,JK-X-0044,,,0,0
9/8/2026 18:35:10,Carpa Castillo Infantil Plegable,Juguetes,Niños,Otro/Ninguno,M,Otros,1,Normal,https://lh3.googleusercontent.com/d/1i-wD4k-OovsP0x3kqekCsL9GpczX0gw6,,https://drive.google.com/open?id=1i-wD4k-OovsP0x3kqekCsL9GpczX0gw6,"Tienda de campaña armable estilo castillo en color azul con estampado de luna y estrellas, incluye bolsa redonda para guardar y transportar.",10,JK-X-0045,,,0,0
11/8/2026 11:44:04,Camión Volqueta Dinosaurio,Juguetes,Niños,Otro/Ninguno,M,Otros,1,Normal,https://lh3.googleusercontent.com/d/1JZNDD7vt68Zs2k-_ju9S1h87hltq6R8Y,,https://drive.google.com/open?id=1JZNDD7vt68Zs2k-_ju9S1h87hltq6R8Y,Vehículo de juguete tipo camión de volteo con frontal moldeado en forma de cabeza de Triceratops y tolva abatible.,10,JK-X-0046,,,0,0
11/8/2026 12:17:08,Peluche Spider-Man,Juguetes,Niños,Superheroe,M,Otros,1,Normal,https://lh3.googleusercontent.com/d/1kmWF-fXjkSU2MD-hft36zC0aySyjIWdE,,https://drive.google.com/open?id=1kmWF-fXjkSU2MD-hft36zC0aySyjIWdE,Peluche suave de Spider-Man en estilo clásico rojo y azul con bordados detallados de telaraña y ojos grandes.,10,JK-X-0047,,,0,0
11/8/2026 17:49:26,Peluches Kimetsu no Yaiba,Juguetes,Unisex,Anime,M,Villavariedad,1,Normal,"https://lh3.googleusercontent.com/d/1wE4jIH3M0wxTCDg0mIxNSOtIA62aPuNG, https://lh3.googleusercontent.com/d/1oWRHYuurJiCKNyE6FIcl_BVQDaaAiN1d, https://lh3.googleusercontent.com/d/13TABJaJGSJBPBbDfghuxnoS-RtQFU8gU, https://lh3.googleusercontent.com/d/1rhmcWtTF2oCzdhzlLd4yuzLyAhtgQa_8",,"https://drive.google.com/open?id=1wE4jIH3M0wxTCDg0mIxNSOtIA62aPuNG, https://drive.google.com/open?id=1oWRHYuurJiCKNyE6FIcl_BVQDaaAiN1d, https://drive.google.com/open?id=13TABJaJGSJBPBbDfghuxnoS-RtQFU8gU, https://drive.google.com/open?id=1rhmcWtTF2oCzdhzlLd4yuzLyAhtgQa_8",Peluches medianos de los personajes principales de Kimetsu no Yaiba,10,JN-E-0048,,,0,0
11/8/2026 23:58:28,Lámpara Esfera de Cristal LED Signos del Zodiaco,Hogar,Unisex,Otro/Ninguno,U,Villavariedad,1,Normal,"https://lh3.googleusercontent.com/d/1JWYlWOz_XtniB_ycDge1ANHuIfliowYP, https://lh3.googleusercontent.com/d/1AeVC5MA2Ie3K-bJRx7hbljLXXXPgTI9J, https://lh3.googleusercontent.com/d/1BGxCSwneXSuUK2OddvH2LjCvuXQCC8XF",,"https://drive.google.com/open?id=1JWYlWOz_XtniB_ycDge1ANHuIfliowYP, https://drive.google.com/open?id=1AeVC5MA2Ie3K-bJRx7hbljLXXXPgTI9J, https://drive.google.com/open?id=1BGxCSwneXSuUK2OddvH2LjCvuXQCC8XF",Lámpara decorativa de cristal tallado en 3D con luz LED cálida y base de madera USB. Disponible en diseños de signos zodiacales.,10,DN-E-0049,,,0,0
12/8/2026 11:29:33,Set Lonchera y envase de liquidos Avengers,Accesorios,Niños,Superheroe,"S, U",Otros,9,Normal,https://lh3.googleusercontent.com/d/1eDW_uMJ6rpJMfbbax6HbnV3SaVTUUo9f,,https://drive.google.com/open?id=1eDW_uMJ6rpJMfbbax6HbnV3SaVTUUo9f,"Kit escolar de lonchera hermética y tomatodo transparente con estampados de los Vengadores, ideal para la merienda escolar.",10,AK-X-0050,,,0,0
12/8/2026 11:31:49,Conjuntos Deportivos y Casuales Infantiles,Ropa,Niños,Otro/Ninguno,"S, M",Otros,8,Normal,https://lh3.googleusercontent.com/d/1ARJ2FAEi_lj_QE6f62M0musx59ecyxzA,,https://drive.google.com/open?id=1ARJ2FAEi_lj_QE6f62M0musx59ecyxzA,"Variedad de conjuntos de ropa infantil de dos y tres piezas con chaquetas, chalecos, franelas y monos deportivos en diversos colores y tallas.",10,EK-X-0051,,,0,0
12/8/2026 11:42:17,Elefante Interactivo de Juguete con Luces,Juguetes,Niños,Otro/Ninguno,U,Otros,6,Normal,https://lh3.googleusercontent.com/d/1MLSoeJJDhTlhLZWCS-eIgI2IC0rW04Ag,,https://drive.google.com/open?id=1MLSoeJJDhTlhLZWCS-eIgI2IC0rW04Ag,"Juguete musical con forma de elefante color rosa que camina, emite luces multicolor y sonidos para entretenimiento infantil.",10,JK-X-0052,,,0,0
